 LB163 , Final Reading Copy                    ,http://www.nebraskalegislature.gov/FloorDocs/107/PDF/Final/LB163.pdf 
 LB163 , Slip Law Copy                    ,http://www.nebraskalegislature.gov/FloorDocs/107/PDF/Slip/LB163.pdf 
 LB163 , Introduced Copy                    ,http://www.nebraskalegislature.gov/FloorDocs/107/PDF/Intro/LB163.pdf 
 LB159 , Introduced Copy                    ,http://www.nebraskalegislature.gov/FloorDocs/107/PDF/Intro/LB159.pdf 
 LB159 , Slip Law Copy                    ,http://www.nebraskalegislature.gov/FloorDocs/107/PDF/Slip/LB159.pdf 
 LB159 , Final Reading Copy                    ,http://www.nebraskalegislature.gov/FloorDocs/107/PDF/Final/LB159.pdf 
 LB324 , Final Reading Copy                    ,http://www.nebraskalegislature.gov/FloorDocs/107/PDF/Final/LB324.pdf 
 LB324 , Slip Law Copy                    ,http://www.nebraskalegislature.gov/FloorDocs/107/PDF/Slip/LB324.pdf 
 LB23 , Final Reading Copy                    ,http://www.nebraskalegislature.gov/FloorDocs/107/PDF/Final/LB23.pdf 
 LB528 , Final Reading Copy                    ,http://www.nebraskalegislature.gov/FloorDocs/107/PDF/Final/LB528.pdf 
 LB23 , Slip Law Copy                    ,http://www.nebraskalegislature.gov/FloorDocs/107/PDF/Slip/LB23.pdf 
 LB528 , Slip Law Copy                    ,http://www.nebraskalegislature.gov/FloorDocs/107/PDF/Slip/LB528.pdf 
 LB324 , Introduced Copy                    ,http://www.nebraskalegislature.gov/FloorDocs/107/PDF/Intro/LB324.pdf 
 LB23 , Introduced Copy                    ,http://www.nebraskalegislature.gov/FloorDocs/107/PDF/Intro/LB23.pdf 
 LB551 , Introduced Copy                    ,http://www.nebraskalegislature.gov/FloorDocs/107/PDF/Intro/LB551.pdf 
 LB51 , Introduced Copy                    ,http://www.nebraskalegislature.gov/FloorDocs/107/PDF/Intro/LB51.pdf 
 LB83 , Final Reading Copy                    ,http://www.nebraskalegislature.gov/FloorDocs/107/PDF/Final/LB83.pdf 
 LB83 , Slip Law Copy                    ,http://www.nebraskalegislature.gov/FloorDocs/107/PDF/Slip/LB83.pdf 
 LB131 , Final Reading Copy                    ,http://www.nebraskalegislature.gov/FloorDocs/107/PDF/Final/LB131.pdf 
 LB131 , Slip Law Copy                    ,http://www.nebraskalegislature.gov/FloorDocs/107/PDF/Slip/LB131.pdf 
 LB528 , Introduced Copy                    ,http://www.nebraskalegislature.gov/FloorDocs/107/PDF/Intro/LB528.pdf 
 LB380 , Slip Law Copy                    ,http://www.nebraskalegislature.gov/FloorDocs/107/PDF/Slip/LB380.pdf 
 LB113 , Slip Law Copy                    ,http://www.nebraskalegislature.gov/FloorDocs/107/PDF/Slip/LB113.pdf 
 LB108 , Slip Law Copy                    ,http://www.nebraskalegislature.gov/FloorDocs/107/PDF/Slip/LB108.pdf 
 LB383 , Final Reading Copy                    ,http://www.nebraskalegislature.gov/FloorDocs/107/PDF/Final/LB383.pdf 
 LB380 , Final Reading Copy                    ,http://www.nebraskalegislature.gov/FloorDocs/107/PDF/Final/LB380.pdf 
 LB383 , Introduced Copy                    ,http://www.nebraskalegislature.gov/FloorDocs/107/PDF/Intro/LB383.pdf 
 LB379 , Final Reading Copy                    ,http://www.nebraskalegislature.gov/FloorDocs/107/PDF/Final/LB379.pdf 
 LB148 , Slip Law Copy                    ,http://www.nebraskalegislature.gov/FloorDocs/107/PDF/Slip/LB148.pdf 
 LB380 , Introduced Copy                    ,http://www.nebraskalegislature.gov/FloorDocs/107/PDF/Intro/LB380.pdf 
 LB148 , Introduced Copy                    ,http://www.nebraskalegislature.gov/FloorDocs/107/PDF/Intro/LB148.pdf 
 LB14 , Final Reading Copy                    ,http://www.nebraskalegislature.gov/FloorDocs/107/PDF/Final/LB14.pdf 
 LB148 , Final Reading Copy                    ,http://www.nebraskalegislature.gov/FloorDocs/107/PDF/Final/LB148.pdf 
 LB147A , Slip Law Copy                    ,http://www.nebraskalegislature.gov/FloorDocs/107/PDF/Slip/LB147A.pdf 
 LB113 , Final Reading Copy                    ,http://www.nebraskalegislature.gov/FloorDocs/107/PDF/Final/LB113.pdf 
 LB383 , Slip Law Copy                    ,http://www.nebraskalegislature.gov/FloorDocs/107/PDF/Slip/LB383.pdf 
 LR11CA , Introduced Copy                    ,http://www.nebraskalegislature.gov/FloorDocs/107/PDF/Intro/LR11CA.pdf 
 LB330 , Introduced Copy                    ,http://www.nebraskalegislature.gov/FloorDocs/107/PDF/Intro/LB330.pdf 
 LB51 , Final Reading Copy                    ,http://www.nebraskalegislature.gov/FloorDocs/107/PDF/Final/LB51.pdf 
 LB113 , Introduced Copy                    ,http://www.nebraskalegislature.gov/FloorDocs/107/PDF/Intro/LB113.pdf 
 LB147 , Slip Law Copy                    ,http://www.nebraskalegislature.gov/FloorDocs/107/PDF/Slip/LB147.pdf 
 LB628 , Final Reading Copy                    ,http://www.nebraskalegislature.gov/FloorDocs/107/PDF/Final/LB628.pdf 
 LB628 , Slip Law Copy                    ,http://www.nebraskalegislature.gov/FloorDocs/107/PDF/Slip/LB628.pdf 
 LB306A , Slip Law Copy                    ,http://www.nebraskalegislature.gov/FloorDocs/107/PDF/Slip/LB306A.pdf 
 LR28 , Introduced Copy                    ,http://www.nebraskalegislature.gov/FloorDocs/107/PDF/Intro/LR28.pdf 
 LB379 , Slip Law Copy                    ,http://www.nebraskalegislature.gov/FloorDocs/107/PDF/Slip/LB379.pdf 
 LB17 , Slip Law Copy                    ,http://www.nebraskalegislature.gov/FloorDocs/107/PDF/Slip/LB17.pdf 
